					  
"About_BuiltPrefix" "Built %1"
"FirmwareWizard_UpdateGenericTracker_Success_UpperText" "Success!"
"FirmwareWizard_UpdateHeadset_Fail_LowerText" ""
"FirmwareWizard_UpdateHeadset_Fail_MiddleText" "Make sure your headset is connected properly and securely. If this continues to fail, quit SteamVR and unplug your headset from its power source. Then plug your headset back in, launch SteamVR, and try again."
"FirmwareWizard_UpdateHeadset_Fail_Title" "Device Update Failed"
"FirmwareWizard_UpdateHeadset_Fail_UpperText" "Device update failed."
"FirmwareWizard_UpdateHeadset_Progress_LowerText" "WARNING: Do not unplug the headset, plug in any additional devices, or make any other system changes while this device is being updated. Doing so can render this headset unusable."
"FirmwareWizard_UpdateHeadset_Progress_MiddleText" "Updating headset. This could take several minutes..."
"FirmwareWizard_UpdateHeadset_Progress_Title" "Update Headset"
"FirmwareWizard_UpdateHeadset_Progress_UpperText" ""
"FirmwareWizard_UpdateHeadset_Start_LowerText" "\nThe update will start automatically once your headset is detected."
"FirmwareWizard_UpdateHeadset_Start_MiddleText" "Plug the headset into your computer."
"FirmwareWizard_UpdateHeadset_Start_Title" "Update Headset"
"FirmwareWizard_UpdateHeadset_Start_UpperText" ""
"FirmwareWizard_UpdateHeadset_Success_LowerText"  " "
"FirmwareWizard_UpdateHeadset_Success_MiddleText" "Headset successfully updated. You may need to unplug and then replug your headset's power cable for it to register as updated."
"FirmwareWizard_UpdateHeadset_Success_Title" "Update Headset"
"FirmwareWizard_UpdateHeadset_Success_UpperText" "Success!"
"FirmwareWizard_UpdateMoreFirmware" "Update More Devices"
"FirmwareWizard_UpdateType_WatchmanV3PeripheralUpdate" "Peripheral Device Update"
"FirmwareWizard_VRCUpdate" "Device Update"
"FirmwareWizard_WaitingForShutdown_TextContent" "Preparing system for device update..."
"FirmwareWizard_WatchmanDiskUpdate" "Device Update"
"FirmwareWizard_WatchmanFPGAUpdate" "Tracking Device Update"
"FirmwareWizard_WatchmanRecovery" "Tracking Device Update"
"FirmwareWizard_WatchmanUpdate" "Tracking Device Update"		
"FirmwareWizard_WirelessServicesRequired" "Bluetooth services need to be enabled to wirelessly update this Base Station.\n\nPlease enable the SteamVR Bluetooth Service.\n"
"FirmwareWizard_WirelessServicesRequired_Title" "Update Base Station"
"FirmwareWizard_WizardIsAlreadyBusy_Message" "This update can not be started at this time, as there is already a device update in progress."
"FrameTiming_5sStats" "Drops in last %1s:\n  %2 single frame\n  %3 2 frame\n  %4 3 frame\n  %5 4 or more\n Total %6\n"
"FrameTiming_Compositor" "Compositor"
"FrameTiming_Config" "Warn if over %3s we see\n   %1 single frames missed\n   or %2 multi frame drops"
"FrameTiming_FirstView" " --- First Viewed"
"FrameTiming_Idle" "Idle"
"FrameTiming_LateStart" "Late Start"
"FrameTiming_MisPresented" " --- Reprojected"
"FrameTiming_Other" "Other"
"FrameTiming_Pause" "Pause"
"FrameTiming_PostSubmit" "Application (other)"
"FrameTiming_PreSubmit" "Application (scene)"
"FrameTiming_Predicted" " --- Predict (extra)"
"FrameTiming_Presented" " --- Present (count)"
"FrameTiming_Raw" "Details"
"FrameTiming_ReadyForUse" " --- Ready For Use"
"FrameTiming_Remote" "Remote"
"FrameTiming_ShowInHeadset" "Show in Headset"
"FrameTiming_Throttled" " --- Throttle (frames)"
"FrameTiming_Title" "Frame Timing"
"FrameTiming_Vsync" "Vsync"
"HeadsetView_DebugCommands" "Open Debug Commands"
"HeadsetView_DockButtonLabel" "Dock VR View"
"HeadsetView_EyeMode_Both" "Both Eyes"
"HeadsetView_EyeMode_BothLeftDominant" "Both Eyes - Left Dominant"
"HeadsetView_EyeMode_BothRightDominant" "Both Eyes - Right Dominant"
"HeadsetView_EyeMode_Left" "Left Eye"
"HeadsetView_EyeMode_Right" "Right Eye"
"HeadsetView_FullscreenButtonLabel" "Full Screen"
"HeadsetView_HideButtonLabel" "Hide VR View"
"HeadsetView_MenuLabel" "Menu"
"HeadsetView_PressKeyToExit" "Press %1 to exit Full Screen"
"HeadsetView_Title" "VR View"
"HeadsetView_UndockButtonLabel" "Undock VR View"
"Info_UnknownURL_Message" "That link isn
"Info_UnknownURL_Title" "SteamVR"
"Key_Escape_Abbreviation" "ESC"
"KnockKnock_Button" "Knock Knock"
"KnockKnock_Notification_Text" "Knock Knock\nSomeone outside VR would like your attention."
"KnockKnock_Text" "I'm in VR right now. If you'd like to get my attention please click the button below or press the '%1' key."
"KnockKnock_Title" "Want my attention?"
"Language" "English"
"Log_Button_Clear" "Clear"
"Log_Button_LoadCompleteFile" "Load Complete File"
"Log_Button_ShowInExplorer" "Show in Explorer"
"Log_Text_MoreLineInTheActualFile" "MORE LINES IN THE ACTUAL FILE\n\n"
"Log_Window_Title" "Log - %1"
"Main_CanSetInstallationPath_Message" "The installation path could not be located.\n\nSteamVR can set an installation path based on its current executable path."
"Main_Information_Title" "SteamVR"
"Main_JumplistEntry_Advanced" "Advanced"
"Main_JumplistEntry_Quit" "Quit"
"Main_JumplistEntry_RunFirstApplication" "First Application"
"Main_JumplistEntry_RunRoomSetup" "Room Setup"
"Main_JumplistEntry_RunTutorial" "Tutorial"
"Main_JumplistEntry_Settings" "Settings"
"Main_JumplistEntry_SystemReport" "System Report"
"Main_RuntimeFailed_Message" "The runtime was not able to start.\n\n%1\n\nYou can reset the current set runtime\n%2\nbased on the executable path of SteamVR\n%3\n"
"Main_Systray_Error_Message" "There is no system tray on this computer."
"Main_Systray_Error_Title" "System Tray"
"MenuAction_AboutQt" "About Qt"
"MenuAction_About_vrmonitor" "About SteamVR"
"MenuAction_BaseStationSettings" "Base Station Settings"
"MenuAction_BluetoothSettings" "Bluetooth Settings"
"MenuAction_CalibrateController" "Calibrate Controller"
"MenuAction_ClearRecentPlaylist" "Clear Recent Playlist"
"MenuAction_Compositor_HideMirror" "Hide VR View"
"MenuAction_Compositor_ShowMirror" "Show VR View"
"MenuAction_CouldNotReadLogFiles" "Could not read logfiles"
"MenuAction_Crash" "Crash"
"MenuAction_CreateSystemReport" "Create System Report"
"MenuAction_DebugCommands" "Debug Commands"
"MenuAction_Developer" "Developer"
"MenuAction_Devices" "Devices"
"MenuAction_Diagnostics" "Advanced"
"MenuAction_DiagnosticsMenu" "Diagnostics"
"MenuAction_DirectMode" "Direct Display Mode"
"MenuAction_Directories" "Directories"
"MenuAction_DisableDirectMode" "Disable Direct Display Mode"
"MenuAction_DisableEnhancedPowerManagement" "Disable Power Management"
"MenuAction_DisplayFrameTiming" "Advanced Frame Timing"
"MenuAction_DisplayMirror" "Display VR View"
"MenuAction_EnableDirectMode" "Enable Direct Display Mode"
"MenuAction_FirmwareUpdate" "Update Device"
"MenuAction_ForceFirmware" "Force Firmware"
"MenuAction_Help" "Help"
"MenuAction_HideDisplayMirror" "Hide VR View"
"MenuAction_IdentifyBaseStation" "Identify Base Station"
"MenuAction_IdentifyController" "Identify Controller"
"MenuAction_IdentifyTracker" "Identify Tracker"
"MenuAction_KnockKnock" "Knock Knock"
"MenuAction_LegacySettings" "Developer Settings"
"MenuAction_LogFiles" "Log Files"
"MenuAction_MainPlaylistMenu" "Playlists"
"MenuAction_ModelDirectory_Browse" "Browse Model Directory"
"MenuAction_More" "More"
"MenuAction_OverlayViewer" "Overlay Viewer"
"MenuAction_PairController" "Pair Controller"
"MenuAction_PairTracker" "Pair Tracker"
"MenuAction_PairingWizard" "Pair Controller"
"MenuAction_PerformanceGraph" "Display Performance Graph"
"MenuAction_PlaylistEditor" "Playlist Editor"
"MenuAction_PlaylistPlayer" "Playlist Player"
"MenuAction_PowerOffController" "Turn Off Controller"
"MenuAction_PowerOffTracker" "Turn Off Tracker"
"MenuAction_QuickCalibrate" "Quick Calibrate"
"MenuAction_Quit" "Quit"
"MenuAction_RebootVive" "Restart headset"
"MenuAction_RecentPlaylist" "Recent"
"MenuAction_RecentPlaylists" "Recent Playlists"
"MenuAction_RecordTrackingData" "Record Tracking Data"
"MenuAction_RefreshStatusNow" "Refresh Status Now"
"MenuAction_RemoveAllSteamVRUSBDevices" "Remove All SteamVR USB Devices"
"MenuAction_ReportABug" "Report a Bug"
"MenuAction_ResetAllSettingsAndQuit" "Reset all Settings and Restart"
"MenuAction_ResetDismissableWarnings" "Reset Warnings"
"MenuAction_ResetRuntimeAndQuit" "Reset SteamVR path"
"MenuAction_ResetSeatedPosition" "Reset Seated Position"
"MenuAction_RestartSteamVR" "Restart SteamVR"
"MenuAction_RoomOverview" "View Room Overview"
"MenuAction_RunMediaPlayer" "Media Player"
"MenuAction_RunPlaylist" "Run Playlist"
"MenuAction_RunRoomSetup" "Room Setup"
"MenuAction_RunTutorial" "Tutorial"
"MenuAction_SetConfigDirectory" "Set Config Directory"
"MenuAction_SetLogDirectory" "Set Log Directory"
"MenuAction_Settings" "Settings"
"MenuAction_ShowConfigDirectory" "Show Config Directory"
"MenuAction_ShowControllerBinding" "Controller Settings"
"MenuAction_ShowDisplayMirror" "Show VR View"
"MenuAction_ShowLogDirectory" "Show Log Directory"
"MenuAction_ShowManageTrackers" "Manage Trackers"
"MenuAction_ShowRuntimeDirectory" "Show Runtime Directory"
"MenuAction_StatusBar" "Status"
"MenuAction_SteamVRCommunity" "SteamVR Community"
"MenuAction_SteamVRCommunity_URL" "http://steamcommunity.com/app/250820/discussions/"
"MenuAction_SteamVRDeveloperSupport" "SteamVR Developer Support"
"MenuAction_SteamVRDeveloperSupport_URL" "https://developer.valvesoftware.com/wiki/SteamVR"
"MenuAction_SteamVRHardwareDiscussions" "SteamVR Hardware Discussions"
"MenuAction_SteamVRHardwareDiscussions_URL" "http://steamcommunity.com/app/358720/discussions/"
"MenuAction_SteamVRWebsite" "SteamVR Support"
"MenuAction_SteamVRWebsite_URL" "http://steamvr.steampowered.com"
"MenuAction_SteamWorksDeveloperSupport" "SteamWorks Developer Support"
"MenuAction_SteamWorksDeveloperSupport_URL" "http://steamcommunity.com/groups/steamworks/discussions"
"MenuAction_StopRecording" "Stop Recording"
"MenuAction_SystemReportViewer" "System Report Viewer"
"MenuAction_UpdateFirmware" "Update Device"
"MenuAction_ViewLogDirectory" "View Logs"
"MenuAction_WakeupAllBaseStations" "Wake Up Base Stations"
"MenuAction_WebConsole" "Web Console"
"MenuAction_WebDevTools" "Web Dev Tools"
"MenuAction_WebDevToolsPlaceholder" "No Instances Found"
"MenuAction_Workshop" "Workshop"
"MenuAction_Workshop_Browse" "Browse Workshop"
"MenuAction_Workshop_EditItem" "Modify Existing Background"
"MenuAction_Workshop_RunTools" "Create/Modify an Environment"
"MenuAction_Workshop_UploadItem" "Upload New Background"
"MenuAction_Workshop_ViewWiki" "SteamVR Environments Wiki"
"MessageBox_Cancel" "Cancel"
"MessageBox_Continue" "Continue"
"MessageBox_Done" "Done"
"MessageBox_Exit" "Exit"
"MessageBox_Forget" "Forget"
"MessageBox_Next" "Next"
"MessageBox_OK" "OK"
"MessageBox_OpenWirelessSettings" "Bluetooth Settings"
"MessageBox_RefreshAll" "Refresh All"
"MessageBox_RemindMeLater" "Remind Me Later"
"MessageBox_RestartLater" "Restart Later"
"MessageBox_RestartNow" "Restart SteamVR"
"MessageBox_RestartSteamVR" "Restarting SteamVR..."
"MessageBox_Retry" "Retry"
"MessageBox_SetAndRestart" "Set and Restart"
"MessageBox_Stop" "Stop"
"MessageBox_Submit" "Submit"
"MessageBox_Yes" "Yes"
"MonitorController_ApplicationCouldNotStart" "Could not start %1: %2."
"MonitorController_ApplicationsInterfaceNotAvailable" "Could not start %1. This application's interface is not available."
"MonitorController_DisableDirectMode_Text" "WARNING: Disabling Direct Display Mode will extend the headset onto the desktop, and is not recommended. Are you sure you want to disable Direct Display Mode? SteamVR will restart after this change is made."
"MonitorController_EnableDirectMode_Text" "SteamVR will restart after enabling Direct Display Mode. Do you want to continue?"
"MonitorController_EnableSafeMode_Text" "<span>Safe Mode</span> can be used to limit SteamVR processes to the essentials when compatibility issues occur.<p>Are you sure you want to enable Safe Mode? SteamVR will restart after this change is made.<p><a style ='color: rgb(212, 212, 212);' href='https://support.steampowered.com/kb_article.php?ref=8566-SDZC-9326'>Learn more</a>."
"MonitorController_Information_Title" "SteamVR"
"MonitorController_LoadPlaylist" "Load Playlist"
"MonitorController_NotAbleToMakeCompositorFullscreen" "SteamVR is having trouble enabling fullscreen mode."
"MonitorController_NotAbleToStartSteam" "Not able to start Steam."
"MonitorController_ResetCompleteSetup_Text" "This will completely reset your installation of SteamVR and restart the application."
"MonitorController_RestartSystemNotPossible" "At this time SteamVR cannot be restarted automatically. \nPlease quit SteamVR and try again. If issues persist, please restart your computer."
"MonitorController_SelectRecordingDirectory" "Select Recording Directory"
"MonitorController_SwitchDirectMode_Header" "Direct Display Mode"
"MonitorController_SwitchSafeMode_Header" "Safe Mode"
"MonitorController_Version" "Version %1"
"Monitor_PuttingBaseStationsInStandby" "Base stations standing by..."
"Monitor_RestartRequestedDialog_Message" "%1"
"Monitor_RestartRequestedDialog_MessageNoReason" "Driver %1 needs to restart SteamVR."
"Monitor_RestartRequestedDialog_Quit" "Quit SteamVR"
"Monitor_RestartRequestedDialog_Restart" "Restart SteamVR"
"Monitor_RestartRequestedDialog_Title" "Restart for %1 driver"
"Monitor_SpontaneousQuitDialog_Message" "SteamVR has encountered a critical error."
"Monitor_SpontaneousQuitDialog_Quit" "Quit SteamVR"
"Monitor_SpontaneousQuitDialog_Restart" "Restart SteamVR"
"Monitor_SpontaneousQuitDialog_Title" "Unexpected SteamVR Error"
"Monitor_WakingBaseStations" "Base stations waking up..."
"NeedRoomSetupNoLaunch_Message" "This application cannot run until you've performed Room Setup. Would you like to perform Room Setup now?"
"PairingWizard_CheckForDongles_Content" "Check for available wireless receivers..."
"PairingWizard_CheckForDongles_Header" ""
"PairingWizard_CheckForDongles_Title" ""
"PairingWizard_Help
"PairingWizard_HelperAppFailed_Content" "Calling the helper application failed with error %1."
"PairingWizard_HelperAppFailed_Error_Crashed" "'Crashed' (1)"
