					  
"About_BuiltPrefix" "Built %1"
"PairingWizard_HelperAppFailed_Error_WriteError" "'WriteError' (4)"
"PairingWizard_HelperAppFailed_Header" ""
"PairingWizard_HelperAppFailed_MoreInfo" "More Info"
"PairingWizard_HelperAppFailed_MoreInfo_URL" "http://www.valvesoftware.com"
"PairingWizard_HelperAppFailed_Title" ""
"PairingWizard_LookingForControllers_Content" "Press and hold the App and System buttons until it chimes.\n\nThe controller LED should start blinking blue to indicate that it is in pairing mode."
"PairingWizard_LookingForControllers_Header" "Looking for Vive Controller..."
"PairingWizard_NoDonglesAvailable_Content" "To pair additional controllers, at least one of your controllers must be turned off. Only two controllers can be connected at a time."
"PairingWizard_NoDonglesAvailable_Header" ""
"PairingWizard_NoDonglesAvailable_Title" "Two controllers already in use"
"PairingWizard_NoDonglesDetected_Content" "Your headset must be connected properly in order to pair new controllers."
"PairingWizard_NoDonglesDetected_Header" ""
"PairingWizard_NoDonglesDetected_Title" "No headset detected"
"PairingWizard_PairAnotherController" "Pair Another Controller"
"PairingWizard_PairController_Success_Title" "Success!"
"PairingWizard_PairController_Title" "Pair a new Controller"
"PairingWizard_PairingFailed_Content" "Make sure your controller is charged and stays near your headset when pairing.\n\nClick 'Retry' below to try again."
"PairingWizard_PairingFailed_Header" "Pairing Failed"
"PairingWizard_Success_MoreDonglesAvailable_Content" "Your Vive controller is paired and ready to go. To pair another controller,  click 'Pair Another Controller' below."
"PairingWizard_Success_MoreDonglesAvailable_Header" "Vive Controller Paired!"
"PairingWizard_Success_NoMoreDonglesAvailable_Content" "Your Vive controller is paired and ready."
"PairingWizard_Success_NoMoreDonglesAvailable_Header" "Vive Controller Paired!"
"PairingWizard_TimeoutHappened_Content" "Make sure your controller is charged and near your headset when pairing.\n\nClick 'Retry' below to try again."
"PairingWizard_TimeoutHappened_Header" "No Controller Detected"
"PlaylistEditor_AddEntry_Text" "Entry %1"
"PlaylistEditor_Detail_Arguments_Label" "Arguments:"
"PlaylistEditor_Detail_AudioVolumeInPercent_Label" " in % "
"PlaylistEditor_Detail_AudioVolumeOverride_Checkbox" "Override"
"PlaylistEditor_Detail_AudioVolume_Label" "Audio Volume:"
"PlaylistEditor_Detail_DotDotDot_Label" "..."
"PlaylistEditor_Detail_Entry_Text" "Entry"
"PlaylistEditor_Detail_Environment_Label" "Environment:"
"PlaylistEditor_Detail_Executable_Label" "Executable:"
"PlaylistEditor_Detail_Name_Label" "Name:"
"PlaylistEditor_Detail_NothingSet_Text" "Nothing set."
"PlaylistEditor_Detail_PostrollDuration_Label" "Postroll Duration:"
"PlaylistEditor_Detail_PrerollDuration_Label" "Preroll Duration:"
"PlaylistEditor_Detail_PrerollPlacecard_Label" "Preroll Placecard:"
"PlaylistEditor_Detail_Total_Label" "Total:"
"PlaylistEditor_Detail_UseCompositor_Checkbox" "Use Compositor"
"PlaylistEditor_Detail_WaitForNext_Checkbox" "Wait for Next"
"PlaylistEditor_Detail_WorkingDirectory_Label" "Working Directory:"
"PlaylistEditor_Duration_Label" "Duration:"
"PlaylistEditor_Entries_Tab" "Entries"
"PlaylistEditor_FileName_Label" "Filename:"
"PlaylistEditor_General_DotDotDot_Label" "..."
"PlaylistEditor_General_Environment_Label" "Environment:"
"PlaylistEditor_General_ForceAudioVolume_Label" "Force Audio Volume:"
"PlaylistEditor_General_PlaySoundBeforeEnd_Label" "Play sound before end:"
"PlaylistEditor_General_Seconds_Label" "seconds"
"PlaylistEditor_General_Tab" "General"
"PlaylistEditor_General_WaitForNext_Label" "Wait for Next:"
"PlaylistEditor_General_WorkingDirectory_Label" "Working Directory:"
"PlaylistEditor_Header_Durations" "Durations"
"PlaylistEditor_Header_Length" "Length"
"PlaylistEditor_Header_Name" "Name"
"PlaylistEditor_Load" "Load"
"PlaylistEditor_LoadPlaylist_FileSelector" "Load Playlist"
"PlaylistEditor_Minus_Button" "-"
"PlaylistEditor_Name_Label" "Name:"
"PlaylistEditor_New" "New"
"PlaylistEditor_NotSavedYet_Text" "Not saved yet."
"PlaylistEditor_Placecard_Clear_Button" "Clear"
"PlaylistEditor_Placecard_Load_Button" "Load"
"PlaylistEditor_Placecard_OffsetX_Label" "Offset X:"
"PlaylistEditor_Placecard_OffsetY_Label" "Offset Y:"
"PlaylistEditor_Placecard_OffsetZ_Label" "Offset Z:"
"PlaylistEditor_Placecard_Tab" "Placecard"
"PlaylistEditor_Placecard_Test_Button" "Test"
"PlaylistEditor_Placecard_WidthInMeters_Label" "Width in Meters:"
"PlaylistEditor_Play_Button" "Play"
"PlaylistEditor_Plus_Button" "+"
"PlaylistEditor_Save" "Save"
"PlaylistEditor_SaveAs" "Save As"
"PlaylistEditor_SavePlaylist_FileSelector" "Save Playlist"
"PlaylistEditor_SelectExecutable_FileSelector" "Select Executable Path"
"PlaylistEditor_SelectImageForPlacecard_FileSelector" "Select Image for Placecard"
"PlaylistEditor_SelectPrerollPlacecard_FileSelector" "Select Preroll Placecard"
"PlaylistEditor_SelectWorkingDirectory_FileSelector" "Select Working Directory"
"PlaylistEditor_WindowTitle" "Playlist Editor"
"PlaylistEntryDefaultName" "Entry"
"PlaylistListDefaultName" "Playlist"
"PlaylistOverlay_GotoFirstEntry" "Goto First Entry"
"PlaylistOverlay_NextEntry" "Next Entry"
"PlaylistOverlay_PauseTimer" "Pause Timer"
"PlaylistOverlay_Title" "Playlist Remote Control"
"PlaylistPlayer_All_Checkbox" "All"
"PlaylistPlayer_Continue_Button" "Continue"
"PlaylistPlayer_Current_Label" "Current:"
"PlaylistPlayer_Durations_Header" "Durations"
"PlaylistPlayer_ForceSoundVolume_Checkbox" "Force Sound Volume"
"PlaylistPlayer_Length_Header" "Length"
"PlaylistPlayer_ManualNext_Checkbox" "Manual Next"
"PlaylistPlayer_MasterVolume_Label" "Master Volume"
"PlaylistPlayer_Name_Header" "Name"
"PlaylistPlayer_Next_Button" "Next"
"PlaylistPlayer_Next_Label" "Next:"
"PlaylistPlayer_Overall_Label" "Overall:"
"PlaylistPlayer_PauseTimer_Button" "Pause Timer"
"PlaylistPlayer_PlaySoundBeforeEnd_Checkbox" "Play Sound before entry ends in seconds"
"PlaylistPlayer_PlaySound_Button" "Play Sound"
"PlaylistPlayer_PostrollState_Text" "Postroll "
"PlaylistPlayer_PrerollState_Text" "Preroll "
"PlaylistPlayer_ProcessError_Crashed" "Crashed"
"PlaylistPlayer_ProcessError_FailedToStart" "Failed To Start"
"PlaylistPlayer_ProcessError_ReadError" "Read Error"
"PlaylistPlayer_ProcessError_Timeout" "Timeout"
"PlaylistPlayer_ProcessError_Unknown" ""
"PlaylistPlayer_ProcessError_WriteError" "Write Error"
"PlaylistPlayer_RemoteControlInHeadset_Checkbox" "Remote Control in Headset"
"PlaylistPlayer_RunSelected_Button" "Run Selected"
"PlaylistPlayer_RunSingle_Button" "Run Single"
"PlaylistPlayer_Run_Button" "Run"
"PlaylistPlayer_State_NotRunning" "Not Running"
"PlaylistPlayer_State_Running" "Running"
"PlaylistPlayer_State_Starting" "Starting"
"PlaylistPlayer_State_Unknown" "Unknown State"
"PlaylistPlayer_StatusOfCurrentDemo_Text" "Status of current demo: %1 %2"
"PlaylistPlayer_StatusOfCurrentEntryNone_Text" "No status information for current entry."
"PlaylistPlayer_StatusOfCurrentEntryPause_Text" "%1Status of current entry: Pause"
"PlaylistPlayer_Stop_Button" "Stop"
"PlaylistPlayer_Total_Label" "Total:"
"PlaylistPlayer_WindowTitle" "Playlist Player"
"PlaylistPlayer_WindowTitle_WithName" "Playlist Player - %1"
"QuickCalibrate_CabalSpace" "Cabal Space"
"QuickCalibrate_DK2Default" "DK2 Default"
"QuickCalibrate_LargeSpace" "Large Space"
"QuickCalibrate_MediumSpace" "Medium Space"
"QuickCalibrate_SmallSpace" "Small Space"
"QuickCalibrate_StandingSpace" "Standing Space"
"RebootHelper_Cancel" "Cancel"
"RebootHelper_ConnectingToVive" "Connecting To Vive..."
"RebootHelper_RebootingVive" "Rebooting Vive..."
"RebootHelper_RestartingSteamVR" "Restarting SteamVR..."
"RebootHelper_ServiceError" "Service Error: %1"
"RebootHelper_ServiceStatus" "Service Status: %1"
"RebootHelper_StartingSteamVRShutdown" "Starting SteamVR Shutdown..."
"RebootHelper_Status_Connected" "Connected!"
"RebootHelper_Status_WaitingForDevice" "Waiting For Device..."
"RebootWhileAppRunning_Format" "Rebooting SteamVR will also shut down'%1'. Do you wish to reboot?"
"RebootWhileAppRunning_Title" "SteamVR Reboot"
"Settings_Advanced_DirectMode_Header" "Direct Mode"
"Settings_Advanced_Paths_Header" "Paths"
"Settings_Advanced_Reset_Header" "Reset"
"Settings_Advanced_RoomAndTracking_Header" "Room and Tracking"
"Settings_Advanced_Status_Header" "Status Check"
"Settings_Advanced_Supersampling_Header" "Supersampling"
"Settings_Advanced_Supersampling_RequiresRestart" "This change requires a restart of SteamVR to take effect."
"Settings_AllowAsyncReprojection" "Allow asynchronous reprojection"
"Settings_AllowReprojection" "Allow interleaved reprojection"
"Settings_Applications" "Application"
"Settings_ArcadeMode" "Enable Arcade Mode"
"Settings_Audio_AudioMirrorPlay"  "Mirror audio to device"
"Settings_Audio_AudioMirrorUnsupported"  "Audio mirroring is not supported on this platform"
"Settings_Audio_AudioPlay"  "Set Playback device to"
"Settings_Audio_AudioRecord"  "Set Record device to"
"Settings_Audio_HDMIGain"  "Enable Gain reduction on VIVE HDMI Audio"
"Settings_Audio_Header"  "Audio Settings"
"Settings_Audio_LeaveAlone"  "Do not change device"
"Settings_Audio_NoMirror"  "Do not mirror"
"Settings_Audio_Off"  "When SteamVR is exited"
"Settings_Audio_On"  "When SteamVR is active"
"Settings_AutoLaunchDashboardApplication" "Dashboard Applications"
"Settings_BaseStationsWakeUpAll" "Wake Up All Base Stations"
"Settings_Bluetooth_Driver_Install" "Install Bluetooth Driver"
"Settings_Camera_AllowCameraForChaperoneBounds" "Allow Camera For Chaperone Bounds"
"Settings_Camera_AllowCameraForRoomView" "Allow Camera For Room View (System Button Double Click)"
"Settings_Camera_AllowCameraInDashboard" "Allow Camera In Dashboard"
"Settings_Camera_CameraStatusActive" "Camera Active"
"Settings_Camera_CameraStatusNotAvailable" "Camera Not Available"
"Settings_Camera_CameraStatusPaused" "Camera Idle"
"Settings_Camera_CameraStatusReady" "Camera Ready"
"Settings_Camera_CameraStatusStopped" "Camera Stopped"
"Settings_Camera_CameraStatus_NeedsRecovery" "<font color=#969696>There is a critical camera firmware update that must be applied. Hover over the headset icon and select Update Firmware.</font>"
"Settings_Camera_CameraStatus_UseAnotherPort" "<font color=#969696>The camera is not recognized on the USB port that the Vive is plugged into.<br>Try a different USB port and restart SteamVR.</font>"
"Settings_Camera_Compatibility" "<b>Camera Rate</b>"
"Settings_Camera_CompatibilityExplanation" "<font color=#ffffff><b>If you experience a loss of tracking you may want to set a lower Camera Rate, disable the camera, or try a different USB port.</b></font>"
"Settings_Camera_Compatibility_Fast" "60Hz"
"Settings_Camera_Compatibility_Slow" "30Hz"
"Settings_Camera_EnableCamera" "Enable Camera"
"Settings_Camera_EnableWarning" "<font color=#ffffff><b>Enabling the camera may interfere with tracking stability on incompatible USB ports.<br><br>If you experience a loss of tracking you may want to set a lower Camera Rate, disable the camera, or try a different USB port.</b></font>"
"Settings_Camera_RequiresRestart" "This change requires a restart of SteamVR to take effect."
"Settings_Camera_ResetToDefault" "Reset to Default"
"Settings_Camera_SelectCameraChaperoneAlphaHeader" "Camera Chaperone Opacity:"
"Settings_Camera_SelectCameraChaperoneColorHeader" "Camera Chaperone Color:"
"Settings_Camera_SelectCameraChaperoneStrengthHeader" "Camera Chaperone Strength:"
"Settings_Camera_StartTest" "Test Camera Rate"
"Settings_Camera_StopTest" "Stop Test"
"Settings_Camera_TestCameraWorking" "Camera Rate Valid"
"Settings_Camera_TestHeadsetTracking" "Camera Tracking"
"Settings_Camera_TestVideoFrameDelivery" "Camera Streaming"
"Settings_Camera_TrackingRequiredForTest" "The headset does not appear to be currently tracking.\n\nThe camera test requires a properly tracking headset before the video stream is started.\n\nPlace the headset in clear view of the base stations and try again."
"Settings_CheckForMissedFramesWarning" "Show missed frame warning"
"Settings_CheckForSteam" "Check for Steam"
"Settings_CheckStatus" "Check Status"
"Settings_Checks" "Checks"
"Settings_ConfigPath" "Config Path:"
"Settings_Dashboard_Explanation" "These applications will be accessible as overlays in the Dashboard."
"Settings_DefaultScreenshotType_Cubemap" "Cubemap"
"Settings_DefaultScreenshotType_Info" "Select the default type of screenshot to take.  Note that many VR applications might not support the requested type and will downgrade to stereoscopic."
"Settings_DefaultScreenshotType_Mono" "Normal"
"Settings_DefaultScreenshotType_MonoPanorama" "Mono Panorama"
"Settings_DefaultScreenshotType_Stereo" "Stereoscopic"
"Settings_DefaultScreenshotType_StereoPanorama" "Stereo Panorama"
"Settings_DefaultScreenshotType_Text" "Default Screenshot Type:"
"Settings_Developer_General_Header" "Developer"
"Settings_Developer_Info" "Shows advanced settings and options for developers"
"Settings_Developer_Text" "Developer Settings"
"Settings_DisableEnhancedPowerManagement_Crash" "The helper application crashed.\nPlease try again.\n"
"Settings_DisableEnhancedPowerManagement_FailToStart" "The helper application was not able to start.\nMake sure that you can run this application as admin.\n"
"Settings_DisableEnhancedPowerManagement_Success" "Windows Enhanced Power Management has been disabled for installed SteamVR USB devices.\n\nYou must replug the USB devices for changes to take effect.\n"
"Settings_DisplayMode" "Display Mode"
"Settings_DisplayMode_Extend" "Extend desktop to display"
"Settings_DisplayMode_MirrorWindow" "Mirror window"
"Settings_EnableDashboard" "Enable VR Dashboard"
"Settings_EnableScreenshots_Info" "When enabled holding the System button and activating the Trigger button will take a screenshot"
"Settings_EnableScreenshots_Text" "Enable Screenshots (BETA)"
"Settings_Firmware_UpdateAvailable" "Update available"
"Settings_ForceReprojection" "Enable Always-on Reprojection."
"Settings_ForceReprojection_Info" "This setting is only suitable for non-active games, as it trades off increased\npositional prediction to provide more time for slower applications to render."
"Settings_HomeApplication" "Home Application"
"Settings_HomeApplication_Explanation" "This app will automatically open when SteamVR is launched."
"Settings_HomeApplication_None" "None"
"Settings_Information_Title" "SteamVR"
"Settings_LargeSpace" "Large Space"
"Settings_LogPath" "Log Path:"
"Settings_MediumSpace" "Medium Space"
"Settings_NotAvailableAtThisTime" "Not all settings are available at this time"
"Settings_NotificationDoNotDisturb_Info" "When Do Not Disturb is enabled, incoming notifications will be suppressed."
"Settings_NotificationDoNotDisturb_Text" "Do Not Disturb"
"Settings_NotificationKnockKnock_Info" "This allows people outside of VR to get the headset user's attention."
"Settings_NotificationKnockKnock_Text" "Knock Knock"
"Settings_Notifications" "Notifications"
"Settings_OpenVRPaths" "OpenVR Paths"
"Settings_PerfCheck" "PerfCheck"
"Settings_PowerOffBaseStations_Info" "Bluetooth Link must be installed to enable this feature."
"Settings_PowerOffBaseStations_Text" "Put Base Station in Standby mode when VR is not in use"
"Settings_Refresh" "Refresh"
"Settings_RemoveAllRelevantUSBDevices_Crash" "The helper application to remove the USB devices crashed.\nPlease try again.\n"
"Settings_RemoveAllRelevantUSBDevices_FailToStart" "The helper application to remove the USB devices was not able to start.\nMake sure that you can run this application as admin.\n"
"Settings_RemoveAllRelevantUSBDevices_PartialSuccess" "Some relevant USB devices could not be removed. Please try again.\n"
"Settings_RemoveAllRelevantUSBDevices_Success" "All relevant USB devices are removed. You may have to reboot your system.\n"
"Settings_RemoveAllRelevantUSBDevices_Text" "This will remove all SteamVR USB devices from the system. You need to replug the devices in again, so the system installs drivers.\n\nAre you sure?"
"Settings_RemoveAllUSBDevices" "Remove all SteamVR USB devices"
"Settings_Reset" "Reset"
"Settings_ResetChaperoneToDK2Default" "Reset Chaperone Data to Oculus Rift DK2 Default"
"Settings_ResetChaperoneToHeadsetInMiddleOfFloor" "Reset Chaperone to Headset in middle of floor"
"Settings_ResetCompleteSetupAndQuit" "Reset Complete Setup and Restart"
"Settings_ResetQtSettings" "Reset Qt Settings"
"Settings_ResetQtSettings_Text" "You want to reset the Qt settings.\n\nAre you sure?"
"Settings_ResetRuntimeAndQuit" "Reset Runtime based on SteamVR location and Restart"
"Settings_ResetRuntimeBasedOnVRMonitorAndQuit_Text" "This will reset the SteamVR path based on the location of the SteamVR executable, and restart SteamVR. \n\nAre you sure?"
"Settings_RestartText" "<html><B>Restart the environment after making a change to these paths.</b></html>"
"Settings_RuntimePath" "Runtime Path:"
"Settings_SelectConfigPath" "Select Config Path"
"Settings_SelectLogPath" "Select Log Path"
"Settings_SelectRuntimePath" "Select Runtime Path"
"Settings_Set" "Set..."
"Settings_SetSelectedPaths" "Set Selected Paths"
"Settings_ShowPlaylistMenu" "Show Playlist Menu"
"Settings_SmallSpace" "Small Space"
"Settings_StartSteamVROnAppLaunch" "Start SteamVR when an application starts"
"Settings_StatusWindowAlwaysOnTop_Info" " "
"Settings_StatusWindowAlwaysOnTop_Text" "SteamVR Status window always on top"
"Settings_StatusWindowMinimizeToTray_Text" "When minimized, SteamVR Status minimizes to the system tray"
"Settings_Title" "Settings"
"Settings_USB_Component_Audio" "Audio Device"
"Settings_USB_Component_Camera" "Camera"
"Settings_USB_Component_Dongle1" "Wireless Receiver 1"
"Settings_USB_Component_Dongle2" "Wireless Receiver 2"
"Settings_USB_Component_HTCBoard" "Main Board"
"Settings_USB_Component_Hub" "Hub"
"Settings_USB_Component_HubBluetooth" "Bluetooth"
"Settings_USB_Component_HubController" "Hub Controller"
"Settings_USB_Component_WatchmanBoard" "Watchman Board"
"Settings_USB_EnhancedStatus" "Device Details"
"Settings_USB_LookingForConnections" "<b>Checking Vive Device Connections...</b>"
"Settings_USB_NoDevicesFound" "<font color=red><b>No Vive Devices are connected.</b></font>"
"Settings_USB_PressRefresh" "<b>Press 'Refresh' to check for Vive device connections...</b>"
"Settings_USB_Refresh" "Refresh"
"Settings_USB_ViveDevices" "<b>Vive Devices:</b>"
"Settings_USB_ViveHeadsetHeader" "<b>Vive Headset:</b>"
"Settings_USB_ViveLinkBoxHeader" "<b>Vive Link Box:</b>"
"Settings_UseBluetoothLink_Info" "When this is enabled, base stations can be wirelessly power managed and updated, and you can get alerts from your phone."
"Settings_UseBluetoothLink_Text" "Enable Bluetooth communication"
"ShutdownWhileAppRunning_Format" "Shutting down SteamVR will also shut down '%1'. Do you wish to continue?"
"ShutdownWhileAppRunning_Title" "SteamVR Shutdown"
"Startup_DisplayLinkIsInstalled" "DisplayLink is incompatible with SteamVR. Please uninstall DisplayLink drivers and software from your machine and reboot before using SteamVR."
"Startup_OpenGLIsNotInstalled" "OpenGL is not installed on this machine. This is a requirement for SteamVR."
"StatusCheckInterval_Never" "Never"
"StatusCheckInterval_Normal" "Normal (1 sec)"
"StatusCheckInterval_Often" "Often (100 msec)"
"StatusCheckInterval_Seldom" "Seldom (5 sec)"
"StatusError_Chaperone_Error" "Fatal problems with the Chaperone System."
"StatusError_CompositorNotFullscreen" "Compositor is not fullscreen."
"StatusError_CompositorNotRunning" "Compositor is not running."
"StatusError_CompositorTooManyRunning" "Too many Compositor instances are running."
"StatusError_HMDDoesNotTrack" "Headset does not track."
"StatusError_LighthouseEvent" "Problems with the Lighthouse System."
"StatusError_NoCompositorAvailable" "No Compositor available."
"StatusError_NoHMDAvailable" "No Headset available."
"StatusError_TrackingDevice_NotValid" "Device not valid."
"StatusError_UnknownError" "Unknown Error (%1)" 
"StatusError_VRServerNotRunning" "VRServer is not running."
"StatusWarning_None" "No Warning"
"StatusWarning_System_Chaperone_Warning" "Problem with Chaperone (0x0002)"
"StatusWarning_System_ConnectionRefusedBySteam" "Connection to Steam is refused (0x0010)"
"StatusWarning_System_NeedDirectModeGraphicsDriverUpdate" "Need DirectMode Graphics Driver Update (0x0020)"
"StatusWarning_System_NoSteamAvailable" "No Steam Available (0x0001)"
"StatusWarning_TrackingDevice_FirmwareUpdateNeeded" "Firmware Update needed (0x0004)"
"StatusWarning_TrackingDevice_NoPose" "Tracking Device has no pose (0x0008)"
"StatusWarning_UnknownWarning" "Unknown Warning (0x%1)"
"Status_ApplicationDrawingUnresponsive" "(unresponsive)"
"Status_Base" "Base"
"Status_CompositorDrawing" ""
"Status_Controller" "Controller"
"Status_HMD" "Headset"
"Status_MenuButton_SteamVR" "SteamVR"
"Status_MenuButton_SteamVR_Branch" "SteamVR %1"
"Status_Quitting" "Exiting"
"Status_Starting" "Starting"
"Status_Title" "SteamVR Status"
"SteamUniverse_Beta" "Beta"
"SteamUniverse_Dev" "Dev"
"SteamUniverse_Internal" "Internal"
"SteamUniverse_InvalidSteamUniverse" "Invalid Steam Universe"
"SteamUniverse_NoSteamAvailable" "No Steam available"
"SteamUniverse_Public" "Public"
"SteamVRSystemState_Connecting" "Connecting"
"SteamVRSystemState_Installing" "Hardware Setup in progress..."
"SteamVRSystemState_NotReady" "Not Ready"
"SteamVRSystemState_Off" "Off"
"SteamVRSystemState_PauseRequested" "Preparing to Pause..."
"SteamVRSystemState_Paused" "Paused"
"SteamVRSystemState_Ready" "Ready"
"SteamVRSystemState_Restart" "Restarting SteamVR..."
"SteamVRSystemState_Shutdown" "Shutdown"
"SteamVRSystemState_ShutdownRequested" "Preparing to Quit..."
"SteamVRSystemState_Startup" "Starting"
"SteamVRSystemState_UnpauseRequested" "Preparing to Start..."
"SystemReport_Chaperone" "Chaperone"
"SystemReport_Configuration" "Configuration"
"SystemReport_CopyToClipboard" "Copy To Clipboard"
"SystemReport_Data" "Data"
"SystemReport_Devices" "Devices"
"SystemReport_DiscoverChaperone" "Discovering Chaperone"
"SystemReport_DiscoverConfiguration" "Discovering Configuration"
"SystemReport_DiscoverDevices" "Discovering Devices"
"SystemReport_DiscoverDisplays" "Discovering Displays"
"SystemReport_DiscoverIssues" "Discovering issues"
"SystemReport_DiscoverLighthouseDB" "Discovering LighthouseDB"
"SystemReport_DiscoverUSB" "Discovering USB"
"SystemReport_Entry_SteamVR" "SteamVR"
"SystemReport_Issues" "Issues"
"SystemReport_LighthouseDB" "LighthouseDB"
"SystemReport_Logs" "Logs"
"SystemReport_Main" "Main"
"SystemReport_PrepareLogs" "Preparing Logs"
"SystemReport_PrepareReport" "Preparing Report"
"SystemReport_Progress_ParseReport" "Parse Report"
"SystemReport_Raw" "Raw"
"SystemReport_RawText" "Raw Text"
"SystemReport_Refresh" "Refresh"
"SystemReport_SaveSystemReport" "Save System Report"
"SystemReport_SaveToFile" "Save to File"
"SystemReport_System" "System"
"SystemReport_Title" "System Report"
"SystemReport_USB" "USB"
"SystemReport_UnableToOpenFile" "Unable to open file"
"Tokens"
"TrackedDeviceClass_Controller" "Controller"
"TrackedDeviceClass_GenericTracker" "Tracker"
"TrackedDeviceClass_HMD" "Headset"
"TrackedDeviceClass_Invalid" "Invalid"
"TrackedDeviceClass_TrackingReference" "Base"
"TrackedDeviceClass_Unknown"  "Unknown Tracked Device Class"
"TrayIcon_Tooltip_vrmonitor" "SteamVR Status"
"VRController_NoDisplay" "No Display"
"VRController_NoDriver" "No Driver"
"VRManifest_Imported_Message" "OpenVR Manifest file imported: \n  %1"
"VRManifest_Imported_Title" "OpenVR Manifest file imported"
"VRState_NotReady" "Not Ready"
"VRState_Off" "Off"
"VRState_PseudoState_Waiting" "Waiting..."
"VRState_Ready" "Ready"
"VRState_ReadyWithAlert" "Ready"
"VRState_Searching" "Searching"
"VRState_SearchingWithAlert" "Searching"
"VRState_Standby" "Standby"
"VRState_UnknownState" "Unknown State"
"WorkshopUpload_Cancel"			"Cancel"
"WorkshopUpload_Desc"			"Description"
"WorkshopUpload_DialogTitle"	"SteamVR Workshop Upload Tool"
"WorkshopUpload_Error"			"Error"
"WorkshopUpload_Error_CannotCreateUploadDir"		"Failed to create temporary upload directory!"
"WorkshopUpload_Error_DescTooLong"	"The description cannot be greater than 8000 characters."
"WorkshopUpload_Error_Generic"		"There was a problem uploading the file. Please try again later."
"WorkshopUpload_Error_InvalidType_MainFile_Background"		"Background images must be either png or jpg files"
"WorkshopUpload_Error_InvalidType_MainFile_Basestation"		"Basestation model file must be of type obj"
"WorkshopUpload_Error_InvalidType_MainFile_Camera"			"Camera model file must be of type obj"
"WorkshopUpload_Error_InvalidType_MainFile_Controller"		"Controller model files must be of type obj"
"WorkshopUpload_Error_InvalidType_MainFile_Environment"		"Environment model files must be of type obj"
"WorkshopUpload_Error_InvalidType_Thumbnail_Background"	"Thumbnail images must be either png or jpg files"
"WorkshopUpload_Error_InvalidType_Thumbnail_Basestation"	"Thumbnail images must be either png or jpg files"
"WorkshopUpload_Error_InvalidType_Thumbnail_Camera"	"Thumbnail images must be either png or jpg files"
"WorkshopUpload_Error_InvalidType_Thumbnail_Controller"	"Thumbnail images must be either png or jpg files"
"WorkshopUpload_Error_InvalidType_Thumbnail_Environment"	"Thumbnail images must be either png or jpg files"
"WorkshopUpload_Error_LimitExceeded"	"Steam returned an error \"Limit Exceeded.\" Please ensure that the thumbnail is smaller than 1 MB."
"WorkshopUpload_Error_NoDesc"		"Please provide a description"
"WorkshopUpload_Error_NoFile_MainFile"		"Please choose a valid file"
"WorkshopUpload_Error_NoFile_Thumbnail"		"Please choose a valid thumbnail image"
"WorkshopUpload_Error_NoItemsToEdit"	"No existing files were found to edit!"
"WorkshopUpload_Error_NoTitle"	"Please provide a name"
"WorkshopUpload_Error_SteamClientNotFound"	"Cannot start the SteamVR Workshop Upload Tool because the Steam Client is not running."
"WorkshopUpload_Error_TooLarge_MainFile"		"Files cannot be larger than 1 GB"
"WorkshopUpload_Error_TooLarge_Thumbnail"		"Thumbnail image must be smaller than 1 MB"
"WorkshopUpload_ImagesFilter"	"Images (*.jpg *.png)"
"WorkshopUpload_MainFile"		"File"
"WorkshopUpload_NoItem"			"(New)"
"WorkshopUpload_ObjFilter"		"Models (*.obj)"
"WorkshopUpload_Progress_CommittingChanges"		"Finishing up..."
"WorkshopUpload_Progress_PreparingConfig"		"Preparing configuration..."
"WorkshopUpload_Progress_PreparingContent"		"Processing files..."
"WorkshopUpload_Progress_Start"		"Contacting SteamVR Workshop..."
"WorkshopUpload_Progress_Title"		"SteamVR Workshop"
"WorkshopUpload_Progress_UploadingContent"		"Uploading files..."
"WorkshopUpload_Progress_UploadingPreview"		"Uploading preview file..."
"WorkshopUpload_SelectContentType"	"Type"
"WorkshopUpload_SelectContentType_Background"	"Background"
"WorkshopUpload_SelectContentType_Basestation"	"Basestation Model"
"WorkshopUpload_SelectContentType_Camera"		"Camera Model"
"WorkshopUpload_SelectContentType_Controller"	"Controller Model"
"WorkshopUpload_SelectContentType_Environment"	"Environment Model"
"WorkshopUpload_SelectExisting"	"Edit"
"WorkshopUpload_SelectImage"	"Select Image"
"WorkshopUpload_Tag_Abstract"					"Abstract"
"WorkshopUpload_Tag_City"						"City"
"WorkshopUpload_Tag_Game"						"Game"
"WorkshopUpload_Tag_Nature"						"Nature"
"WorkshopUpload_Tag_Space"						"Space"
"WorkshopUpload_Tag_Tech"						"Tech"
"WorkshopUpload_Tags"							"Tags"
"WorkshopUpload_Thumbnail"		"Thumbnail File (400x300, 1 MB max)"
"WorkshopUpload_Title"			"Name"
"WorkshopUpload_Upload"			"Submit"
"WorkshopUpload_Visibility"			"Visibility"
"WorkshopUpload_Visibility_FriendsOnly"		"Friends Only"
"WorkshopUpload_Visibility_Private"			"Private"
"WorkshopUpload_Visibility_Public"			"Public"
"lang"
t quite hooked up yet. If the error you are trying to diagnose persists, please visit the <a style ='color: rgb(%r, %g, %b);' href='http://steamcommunity.com/app/358720/discussions/'>SteamVR Developer Forums</a> for help."
